Version,Gay

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
LGBT,Practice1,E,Gay,0.6482053,0,0,0
great,Practice1,E,Good,0.5356169,0,0,1
lovely,Practice1,E,Good,0.3686256,0,0,2
perverted,Practice1,I,Bad,0.6237621,1,0.2945747,3
bisexual,Practice1,E,Gay,0.2723293,0,0,4
lesbian,Practice1,E,Gay,0.2473168,1,0.1361594,5
delightful,Practice1,E,Good,0.1843438,1,0.1282215,6
awful,Practice1,I,Bad,0.04113293,0,0,7
shameful,Practice1,I,Bad,0.1509562,0,0,8
wonderful,Practice1,E,Good,0.09593296,0,0,9
bisexuality,Practice1,E,Gay,0.1767206,1,0.08844614,10
lesbianism,Practice1,E,Gay,0.1670065,1,0.1035333,11
evil,Practice1,I,Bad,0.03991508,0,0,12
disgusting,Practice1,I,Bad,0.7131281,1,0.3450146,13
gross,Practice1,I,Bad,0.1841125,0,0,14
gay,Practice1,E,Gay,0.612093,1,0.3081217,15
enjoyable,Practice1,E,Good,0.259532,0,0,16
beautiful,Practice1,E,Good,0.2004347,0,0,17
amazing,Practice1,E,Good,0.2640085,0,0,18
pleasant,Practice1,E,Good,0.279623,0,0,19
immoral,Practice1,I,Bad,0.7205353,1,0.2728653,20
homosexuality,Practice1,E,Gay,0.5829744,2,0.198884,21
queer,Practice1,E,Gay,0.2010784,0,0,22

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
lesbianism,Test1,E,Gay,0.2310085,0,0,0
wonderful,Test1,E,Good,0.2080345,0,0,1
bisexuality,Test1,E,Gay,0.2404499,0,0,2
perverted,Test1,I,Bad,0.5758858,2,0.1833115,3
shameful,Test1,I,Bad,0.1918573,0,0,4
gross,Test1,I,Bad,0.1679707,0,0,5
shameful,Test1,I,Bad,0.3522882,0,0,6
delightful,Test1,E,Good,0.800375,1,0.2325296,7
shameful,Test1,I,Bad,0.3033772,1,0.1031208,8
enjoyable,Test1,E,Good,0.0811882,0,0,9
great,Test1,E,Good,0.1755686,1,0.05636311,10
beautiful,Test1,E,Good,0.1679277,1,0.07153893,11
amazing,Test1,E,Good,0.1756353,1,0.09535313,12
evil,Test1,I,Bad,0.04827881,0,0,13
lovely,Test1,E,Good,0.09635735,0,0,14
awful,Test1,I,Bad,0.05525494,0,0,15
evil,Test1,I,Bad,0.1604023,1,0.04013443,16
disgusting,Test1,I,Bad,0.1604671,0,0,17
disgusting,Test1,I,Bad,0.1516113,1,0.1276436,18
lovely,Test1,E,Good,0.0721302,0,0,19
bisexuality,Test1,E,Gay,0.1755753,1,0.0875721,20
gay,Test1,E,Gay,0.184782,1,0.09587479,21
lesbian,Test1,E,Gay,0.1512699,1,0.08799744,22
delightful,Test1,E,Good,0.1760807,1,0.08935356,23
gross,Test1,I,Bad,0.05662155,0,0,24
bisexual,Test1,E,Gay,0.127409,0,0,25
amazing,Test1,E,Good,0.1599102,1,0.1121826,26
lesbianism,Test1,E,Gay,0.1767044,1,0.1207333,27
lesbian,Test1,E,Gay,0.1675243,1,0.1039314,28
enjoyable,Test1,E,Good,0.1916523,1,0.09465027,29
gay,Test1,E,Gay,0.1758022,1,0.1268673,30
perverted,Test1,I,Bad,0.03284073,0,0,31
awful,Test1,I,Bad,0.2084808,1,0.07295799,32
immoral,Test1,I,Bad,0.1756001,1,0.07252312,33
great,Test1,E,Good,0.1114063,0,0,34
wonderful,Test1,E,Good,0.1841507,1,0.1273937,35
LGBT,Test1,E,Gay,0.175909,1,0.1361332,36
queer,Test1,E,Gay,0.2244511,1,0.1681175,37
lovely,Test1,E,Good,0.200119,1,0.1847248,38
LGBT,Test1,E,Gay,0.2323933,1,0.06450462,39
gross,Test1,I,Bad,0.1191006,0,0,40
evil,Test1,I,Bad,0.1845055,1,0.1092854,41
lesbian,Test1,E,Gay,0.06479263,0,0,42
gay,Test1,E,Gay,0.1988106,1,0.07159615,43
delightful,Test1,E,Good,0.2159023,1,0.103981,44
bisexuality,Test1,E,Gay,0.1926517,1,0.103878,45
great,Test1,E,Good,0.207346,1,0.1356487,46
immoral,Test1,I,Bad,0.04845428,0,0,47
immoral,Test1,I,Bad,0.1759586,1,0.05603027,48
homosexuality,Test1,E,Gay,0.1206474,0,0,49
amazing,Test1,E,Good,0.1839161,1,0.1202278,50
disgusting,Test1,I,Bad,0.07155991,0,0,51
homosexuality,Test1,E,Gay,0.1280041,0,0,52
LGBT,Test1,E,Gay,0.1846466,1,0.1370907,53
perverted,Test1,I,Bad,0.2563801,1,0.04066467,54
lesbianism,Test1,E,Gay,0.1752586,0,0,55
homosexuality,Test1,E,Gay,0.1434689,0,0,56
beautiful,Test1,E,Good,0.1853027,1,0.1454277,57
awful,Test1,I,Bad,0.05547333,0,0,58
queer,Test1,E,Gay,0.1836033,1,0.01640511,59
enjoyable,Test1,E,Good,0.2315464,1,0.07919312,60
pleasant,Test1,E,Good,0.2010231,1,0.09610748,61
wonderful,Test1,E,Good,0.1832371,1,0.09579086,62
bisexual,Test1,E,Gay,0.1927071,1,0.1200066,63
beautiful,Test1,E,Good,0.1991501,1,0.1355209,64
queer,Test1,E,Gay,0.1920433,1,0.1513615,65
pleasant,Test1,E,Good,0.1924267,1,0.1522827,66
pleasant,Test1,E,Good,0.1756706,1,0.1356888,67
bisexual,Test1,E,Gay,0.1761971,1,0.1195965,68

word,testType,correctResponse,wordCategory,responseTime,numErrors,errorTime,orderInSet
enjoyable,Practice2,E,Good,0.1358757,0,0,0
disgusting,Practice2,I,Bad,0.04050255,0,0,1
beautiful,Practice2,E,Good,0.1995831,0,0,2
pleasant,Practice2,E,Good,0.2074356,2,0.01595306,3
evil,Practice2,I,Bad,0.3446083,1,0.1515312,4
